COD_DISBAR,BARRIOS,NRO_PERSONAS,ANIO,LATITUD,LONGITUD
11,PALACIO,1362.0,2016,4474110.875,439417.7914
12,EMBAJADORES,3349.0,2016,4473417.211,440397.1764
13,CORTES,672.0,2016,4474035.577,440880.1521
14,JUSTICIA,875.0,2016,4475014.208,440900.7625
15,UNIVERSIDAD,1856.0,2016,4475244.247,440020.8477
16,SOL,471.0,2016,4474314.564,440226.8442
21,IMPERIAL,1169.0,2016,4473089.616,439045.6199
22,ACACIAS,1803.0,2016,4472513.434,439982.8536
23,CHOPERA,1274.0,2016,4471808.825,440672.2536
24,LEGAZPI,755.0,2016,4471151.447,441682.9396
25,DELICIAS,1384.0,2016,4472027.934,441453.464
26,PALOS DE MOGUER,1517.0,2016,4472774.286,441057.6445
27,ATOCHA,64.0,2016,4472353.007,442131.2346
31,PACÍFICO,1478.0,2016,4472859.079,442407.5013
32,ADELFAS,878.0,2016,4472494.747,443062.2345
33,ESTRELLA,729.0,2016,4473931.01,443534.9304
34,IBIZA,851.0,2016,4474469.277,442791.7959
35,JERÓNIMOS,201.0,2016,4473905.687,441870.6698
36,NIÑO JESÚS,433.0,2016,4473660.907,442862.905
41,RECOLETOS,430.0,2016,4475110.43,441820.8979
42,GOYA,1106.0,2016,4475153.753,442789.9119
43,FUENTE DEL BERRO,989.0,2016,4475116.489,443691.2602
44,GUINDALERA,1712.0,2016,4476402.061,443463.5845
45,LISTA,772.0,2016,4475927.641,442676.6687
46,CASTELLANA,432.0,2016,4476104.298,441959.5528
51,EL VISO,407.0,2016,4477360.964,441927.2958
52,PROSPERIDAD,1800.0,2016,4477279.652,443241.5164
53,CIUDAD JARDÍN,909.0,2016,4477733.182,442929.7851
54,HISPANOAMÉRICA,978.0,2016,4478520.651,442584.7337
55,NUEVA ESPAÑA,679.0,2016,4479342.236,442506.6745
56,CASTILLA,584.0,2016,4480625.699,442382.2751
61,BELLAS VISTAS,1838.0,2016,4478217.699,439996.5425
62,CUATRO CAMINOS,1601.0,2016,4478108.124,440893.969
63,CASTILLEJOS,902.0,2016,4479092.74,441146.7116
64,ALMENARA,1832.0,2016,4480229.372,441142.6001
65,VALDEACEDERAS,1746.0,2016,4479832.029,440304.6074
66,BERRUGUETE,1595.0,2016,4479011.421,440230.3974
71,GAZTAMBIDE,993.0,2016,4476283.322,439389.8945
72,ARAPILES,974.0,2016,4476214.595,439947.5584
73,TRAFALGAR,1097.0,2016,4476037.29,440530.8517
74,ALMAGRO,608.0,2016,4476032.059,441174.9953
75,RÍOS ROSAS,1000.0,2016,4477096.745,440826.6665
76,VALLEHERMOSO,620.0,2016,4477158.887,439682.3814
81,EL PARDO,149.0,2016,4489409.578,435018.7103
82,FUENTELAREINA,82.0,2016,4481421.762,437127.6497
83,PEÑAGRANDE,2157.0,2016,4481152.656,438480.3153
84,PILAR,2413.0,2016,4480959.021,439853.0231
85,LA PAZ,1199.0,2016,4481394.724,440957.8603
86,VALVERDE,3023.0,2016,4483501.173,442483.6118
87,MIRASIERRA,898.0,2016,4483094.181,439024.2924
88,EL GOLOSO,462.0,2016,4487307.227,440716.0024
91,CASA DE CAMPO,635.0,2016,4475050.323,436118.4975
92,ARGÜELLES,930.0,2016,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,500.0,2016,4478627.02,437391.5065
94,VALDEZARZA,1606.0,2016,4479644.899,439188.6628
95,VALDEMARÍN,125.0,2016,4480009.063,433968.0416
96,EL PLANTÍO,58.0,2016,4480219.592,430409.7127
97,ARAVACA,738.0,2016,4478516.428,433939.3352
101,LOS CÁRMENES,1432.0,2016,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,3089.0,2016,4473487.258,437907.9825
103,LUCERO,2534.0,2016,4472679.645,436327.8871
104,ALUCHE,3944.0,2016,4471531.816,435779.5365
105,CAMPAMENTO,1156.0,2016,4470817.836,431786.0869
106,CUATRO VIENTOS,325.0,2016,4468973.502,433434.5775
