COD_DISBAR,BARRIOS,ANIO,LATITUD,LONGITUD,NRO_PERSONAS
11,PALACIO,2016,4474110.875,439417.7914,9752.0
11,PALACIO,2018,4474110.875,439417.7914,9664.0
11,PALACIO,2019,4474110.875,439417.7914,9894.0
12,EMBAJADORES,2016,4473417.211,440397.1764,22623.0
12,EMBAJADORES,2018,4473417.211,440397.1764,22410.0
12,EMBAJADORES,2019,4473417.211,440397.1764,22885.0
13,CORTES,2016,4474035.577,440880.1521,4934.0
13,CORTES,2018,4474035.577,440880.1521,4837.0
13,CORTES,2019,4474035.577,440880.1521,4882.0
14,JUSTICIA,2016,4475014.208,440900.7625,7711.0
14,JUSTICIA,2018,4475014.208,440900.7625,7719.0
14,JUSTICIA,2019,4475014.208,440900.7625,7912.0
15,UNIVERSIDAD,2016,4475244.247,440020.8477,14964.0
15,UNIVERSIDAD,2018,4475244.247,440020.8477,14997.0
15,UNIVERSIDAD,2019,4475244.247,440020.8477,15573.0
16,SOL,2016,4474314.564,440226.8442,3626.0
16,SOL,2018,4474314.564,440226.8442,3433.0
16,SOL,2019,4474314.564,440226.8442,3511.0
21,IMPERIAL,2016,4473089.616,439045.6199,8413.0
21,IMPERIAL,2018,4473089.616,439045.6199,8307.0
21,IMPERIAL,2019,4473089.616,439045.6199,8302.0
22,ACACIAS,2016,4472513.434,439982.8536,13801.0
23,CHOPERA,2016,4471808.825,440672.2536,7789.0
24,LEGAZPI,2016,4471151.447,441682.9396,8054.0
24,LEGAZPI,2018,4471151.447,441682.9396,8139.0
24,LEGAZPI,2019,4471151.447,441682.9396,8206.0
25,DELICIAS,2016,4472027.934,441453.464,11094.0
26,PALOS DE MOGUER,2016,4472774.286,441057.6445,10737.0
26,PALOS DE MOGUER,2018,4472774.286,441057.6445,10713.0
26,PALOS DE MOGUER,2019,4472774.286,441057.6445,10745.0
27,ATOCHA,2016,4472353.007,442131.2346,409.0
27,ATOCHA,2018,4472353.007,442131.2346,418.0
27,ATOCHA,2019,4472353.007,442131.2346,417.0
31,PACÍFICO,2016,4472859.079,442407.5013,12333.0
31,PACÍFICO,2018,4472859.079,442407.5013,12112.0
31,PACÍFICO,2019,4472859.079,442407.5013,12087.0
32,ADELFAS,2016,4472494.747,443062.2345,6855.0
32,ADELFAS,2018,4472494.747,443062.2345,6903.0
32,ADELFAS,2019,4472494.747,443062.2345,6866.0
33,ESTRELLA,2016,4473931.01,443534.9304,7571.0
34,IBIZA,2016,4474469.277,442791.7959,7743.0
34,IBIZA,2018,4474469.277,442791.7959,7698.0
34,IBIZA,2019,4474469.277,442791.7959,7749.0
35,JERÓNIMOS,2016,4473905.687,441870.6698,2455.0
36,NIÑO JESÚS,2016,4473660.907,442862.905,5116.0
36,NIÑO JESÚS,2018,4473660.907,442862.905,5014.0
36,NIÑO JESÚS,2019,4473660.907,442862.905,5019.0
41,RECOLETOS,2016,4475110.43,441820.8979,5828.0
41,RECOLETOS,2018,4475110.43,441820.8979,5949.0
41,RECOLETOS,2019,4475110.43,441820.8979,5909.0
42,GOYA,2016,4475153.753,442789.9119,11310.0
42,GOYA,2018,4475153.753,442789.9119,11536.0
42,GOYA,2019,4475153.753,442789.9119,11587.0
43,FUENTE DEL BERRO,2016,4475116.489,443691.2602,7791.0
43,FUENTE DEL BERRO,2018,4475116.489,443691.2602,7920.0
43,FUENTE DEL BERRO,2019,4475116.489,443691.2602,8113.0
44,GUINDALERA,2016,4476402.061,443463.5845,15086.0
44,GUINDALERA,2018,4476402.061,443463.5845,15517.0
44,GUINDALERA,2019,4476402.061,443463.5845,15736.0
45,LISTA,2016,4475927.641,442676.6687,8196.0
45,LISTA,2018,4475927.641,442676.6687,8355.0
45,LISTA,2019,4475927.641,442676.6687,8368.0
