COD_DISBAR,BARRIOS,ANIO,LATITUD,LONGITUD,NRO_PERSONAS
11,PALACIO,2016,4474110.875,439417.7914,9469.0
11,PALACIO,2018,4474110.875,439417.7914,9892.0
11,PALACIO,2019,4474110.875,439417.7914,10409.0
12,EMBAJADORES,2016,4473417.211,440397.1764,15438.0
12,EMBAJADORES,2018,4473417.211,440397.1764,16482.0
12,EMBAJADORES,2019,4473417.211,440397.1764,17358.0
13,CORTES,2016,4474035.577,440880.1521,4863.0
13,CORTES,2018,4474035.577,440880.1521,5055.0
13,CORTES,2019,4474035.577,440880.1521,5201.0
14,JUSTICIA,2016,4475014.208,440900.7625,7755.0
14,JUSTICIA,2018,4475014.208,440900.7625,8170.0
14,JUSTICIA,2019,4475014.208,440900.7625,8632.0
15,UNIVERSIDAD,2016,4475244.247,440020.8477,12970.0
15,UNIVERSIDAD,2018,4475244.247,440020.8477,13921.0
15,UNIVERSIDAD,2019,4475244.247,440020.8477,14902.0
16,SOL,2016,4474314.564,440226.8442,3100.0
16,SOL,2018,4474314.564,440226.8442,3155.0
16,SOL,2019,4474314.564,440226.8442,3280.0
21,IMPERIAL,2016,4473089.616,439045.6199,8537.0
21,IMPERIAL,2018,4473089.616,439045.6199,9006.0
21,IMPERIAL,2019,4473089.616,439045.6199,9284.0
22,ACACIAS,2016,4472513.434,439982.8536,14348.0
23,CHOPERA,2016,4471808.825,440672.2536,5355.0
24,LEGAZPI,2016,4471151.447,441682.9396,7942.0
24,LEGAZPI,2018,4471151.447,441682.9396,8505.0
24,LEGAZPI,2019,4471151.447,441682.9396,8860.0
25,DELICIAS,2016,4472027.934,441453.464,9796.0
26,PALOS DE MOGUER,2016,4472774.286,441057.6445,8968.0
26,PALOS DE MOGUER,2018,4472774.286,441057.6445,9778.0
26,PALOS DE MOGUER,2019,4472774.286,441057.6445,10182.0
27,ATOCHA,2016,4472353.007,442131.2346,288.0
27,ATOCHA,2018,4472353.007,442131.2346,321.0
27,ATOCHA,2019,4472353.007,442131.2346,329.0
31,PACÍFICO,2016,4472859.079,442407.5013,13381.0
31,PACÍFICO,2018,4472859.079,442407.5013,14068.0
31,PACÍFICO,2019,4472859.079,442407.5013,14412.0
32,ADELFAS,2016,4472494.747,443062.2345,6874.0
32,ADELFAS,2018,4472494.747,443062.2345,7416.0
32,ADELFAS,2019,4472494.747,443062.2345,7631.0
33,ESTRELLA,2016,4473931.01,443534.9304,10431.0
34,IBIZA,2016,4474469.277,442791.7959,9135.0
34,IBIZA,2018,4474469.277,442791.7959,9618.0
34,IBIZA,2019,4474469.277,442791.7959,9935.0
35,JERÓNIMOS,2016,4473905.687,441870.6698,3360.0
36,NIÑO JESÚS,2016,4473660.907,442862.905,7380.0
36,NIÑO JESÚS,2018,4473660.907,442862.905,7592.0
36,NIÑO JESÚS,2019,4473660.907,442862.905,7714.0
41,RECOLETOS,2016,4475110.43,441820.8979,8072.0
41,RECOLETOS,2018,4475110.43,441820.8979,8449.0
41,RECOLETOS,2019,4475110.43,441820.8979,8538.0
42,GOYA,2016,4475153.753,442789.9119,13465.0
42,GOYA,2018,4475153.753,442789.9119,14450.0
42,GOYA,2019,4475153.753,442789.9119,14733.0
43,FUENTE DEL BERRO,2016,4475116.489,443691.2602,8287.0
43,FUENTE DEL BERRO,2018,4475116.489,443691.2602,8799.0
43,FUENTE DEL BERRO,2019,4475116.489,443691.2602,9197.0
44,GUINDALERA,2016,4476402.061,443463.5845,17798.0
44,GUINDALERA,2018,4476402.061,443463.5845,18867.0
44,GUINDALERA,2019,4476402.061,443463.5845,19439.0
45,LISTA,2016,4475927.641,442676.6687,9647.0
45,LISTA,2018,4475927.641,442676.6687,10241.0
45,LISTA,2019,4475927.641,442676.6687,10502.0
46,CASTELLANA,2016,4476104.298,441959.5528,8342.0
46,CASTELLANA,2018,4476104.298,441959.5528,8647.0
46,CASTELLANA,2019,4476104.298,441959.5528,8782.0
51,EL VISO,2016,4477360.964,441927.2958,8274.0
51,EL VISO,2018,4477360.964,441927.2958,8573.0
51,EL VISO,2019,4477360.964,441927.2958,8739.0
52,PROSPERIDAD,2016,4477279.652,443241.5164,15236.0
52,PROSPERIDAD,2018,4477279.652,443241.5164,16214.0
52,PROSPERIDAD,2019,4477279.652,443241.5164,16602.0
53,CIUDAD JARDÍN,2016,4477733.182,442929.7851,7365.0
53,CIUDAD JARDÍN,2018,4477733.182,442929.7851,7893.0
53,CIUDAD JARDÍN,2019,4477733.182,442929.7851,8258.0
54,HISPANOAMÉRICA,2016,4478520.651,442584.7337,14753.0
54,HISPANOAMÉRICA,2018,4478520.651,442584.7337,15386.0
54,HISPANOAMÉRICA,2019,4478520.651,442584.7337,15812.0
55,NUEVA ESPAÑA,2016,4479342.236,442506.6745,11668.0
55,NUEVA ESPAÑA,2018,4479342.236,442506.6745,12462.0
55,NUEVA ESPAÑA,2019,4479342.236,442506.6745,12727.0
56,CASTILLA,2016,4480625.699,442382.2751,7534.0
56,CASTILLA,2018,4480625.699,442382.2751,8171.0
56,CASTILLA,2019,4480625.699,442382.2751,8311.0
61,BELLAS VISTAS,2016,4478217.699,439996.5425,7423.0
61,BELLAS VISTAS,2018,4478217.699,439996.5425,8086.0
61,BELLAS VISTAS,2019,4478217.699,439996.5425,8541.0
62,CUATRO CAMINOS,2016,4478108.124,440893.969,13763.0
62,CUATRO CAMINOS,2018,4478108.124,440893.969,14665.0
62,CUATRO CAMINOS,2019,4478108.124,440893.969,15243.0
63,CASTILLEJOS,2016,4479092.74,441146.7116,8311.0
63,CASTILLEJOS,2018,4479092.74,441146.7116,9061.0
63,CASTILLEJOS,2019,4479092.74,441146.7116,9338.0
64,ALMENARA,2016,4480229.372,441142.6001,4776.0
64,ALMENARA,2018,4480229.372,441142.6001,5368.0
64,ALMENARA,2019,4480229.372,441142.6001,5694.0
65,VALDEACEDERAS,2016,4479832.029,440304.6074,5417.0
65,VALDEACEDERAS,2018,4479832.029,440304.6074,5862.0
65,VALDEACEDERAS,2019,4479832.029,440304.6074,6235.0
66,BERRUGUETE,2016,4479011.421,440230.3974,5686.0
66,BERRUGUETE,2018,4479011.421,440230.3974,6122.0
66,BERRUGUETE,2019,4479011.421,440230.3974,6429.0
71,GAZTAMBIDE,2016,4476283.322,439389.8945,10474.0
71,GAZTAMBIDE,2018,4476283.322,439389.8945,10931.0
71,GAZTAMBIDE,2019,4476283.322,439389.8945,11291.0
72,ARAPILES,2016,4476214.595,439947.5584,10474.0
72,ARAPILES,2018,4476214.595,439947.5584,11207.0
72,ARAPILES,2019,4476214.595,439947.5584,11509.0
73,TRAFALGAR,2016,4476037.29,440530.8517,11254.0
73,TRAFALGAR,2018,4476037.29,440530.8517,11915.0
73,TRAFALGAR,2019,4476037.29,440530.8517,12230.0
74,ALMAGRO,2016,4476032.059,441174.9953,9413.0
74,ALMAGRO,2018,4476032.059,441174.9953,9839.0
74,ALMAGRO,2019,4476032.059,441174.9953,10006.0
75,RÍOS ROSAS,2016,4477096.745,440826.6665,12394.0
75,RÍOS ROSAS,2018,4477096.745,440826.6665,13082.0
75,RÍOS ROSAS,2019,4477096.745,440826.6665,13613.0
76,VALLEHERMOSO,2016,4477158.887,439682.3814,9836.0
76,VALLEHERMOSO,2018,4477158.887,439682.3814,10281.0
76,VALLEHERMOSO,2019,4477158.887,439682.3814,10592.0
81,EL PARDO,2016,4489409.578,435018.7103,621.0
81,EL PARDO,2018,4489409.578,435018.7103,695.0
81,EL PARDO,2019,4489409.578,435018.7103,725.0
82,FUENTELAREINA,2016,4481421.762,437127.6497,1512.0
82,FUENTELAREINA,2018,4481421.762,437127.6497,1539.0
82,FUENTELAREINA,2019,4481421.762,437127.6497,1580.0
83,PEÑAGRANDE,2016,4481152.656,438480.3153,13495.0
83,PEÑAGRANDE,2018,4481152.656,438480.3153,14193.0
83,PEÑAGRANDE,2019,4481152.656,438480.3153,14593.0
84,PILAR,2016,4480959.021,439853.0231,11478.0
85,LA PAZ,2016,4481394.724,440957.8603,14606.0
85,LA PAZ,2018,4481394.724,440957.8603,14919.0
85,LA PAZ,2019,4481394.724,440957.8603,15071.0
86,VALVERDE,2016,4483501.173,442483.6118,18913.0
86,VALVERDE,2018,4483501.173,442483.6118,20504.0
86,VALVERDE,2019,4483501.173,442483.6118,21186.0
87,MIRASIERRA,2016,4483094.181,439024.2924,12302.0
87,MIRASIERRA,2018,4483094.181,439024.2924,13863.0
87,MIRASIERRA,2019,4483094.181,439024.2924,14398.0
88,EL GOLOSO,2016,4487307.227,440716.0024,6854.0
88,EL GOLOSO,2018,4487307.227,440716.0024,7378.0
88,EL GOLOSO,2019,4487307.227,440716.0024,7663.0
91,CASA DE CAMPO,2016,4475050.323,436118.4975,4938.0
91,CASA DE CAMPO,2018,4475050.323,436118.4975,5148.0
91,CASA DE CAMPO,2019,4475050.323,436118.4975,5332.0
92,ARGÜELLES,2016,4475533.294,439109.0847,11300.0
92,ARGÜELLES,2018,4475533.294,439109.0847,11773.0
92,ARGÜELLES,2019,4475533.294,439109.0847,12040.0
93,CIUDAD UNIVERSITARIA,2016,4478627.02,437391.5065,7658.0
93,CIUDAD UNIVERSITARIA,2018,4478627.02,437391.5065,8018.0
93,CIUDAD UNIVERSITARIA,2019,4478627.02,437391.5065,8152.0
94,VALDEZARZA,2016,4479644.899,439188.6628,7711.0
94,VALDEZARZA,2018,4479644.899,439188.6628,8146.0
94,VALDEZARZA,2019,4479644.899,439188.6628,8444.0
95,VALDEMARÍN,2016,4480009.063,433968.0416,2800.0
95,VALDEMARÍN,2018,4480009.063,433968.0416,2947.0
95,VALDEMARÍN,2019,4480009.063,433968.0416,3066.0
96,EL PLANTÍO,2016,4480219.592,430409.7127,1154.0
96,EL PLANTÍO,2018,4480219.592,430409.7127,1247.0
96,EL PLANTÍO,2019,4480219.592,430409.7127,1295.0
97,ARAVACA,2016,4478516.428,433939.3352,10471.0
97,ARAVACA,2018,4478516.428,433939.3352,11018.0
97,ARAVACA,2019,4478516.428,433939.3352,11434.0
101,LOS CÁRMENES,2016,4472579.69,437550.3787,2827.0
101,LOS CÁRMENES,2018,4472579.69,437550.3787,3016.0
101,LOS CÁRMENES,2019,4472579.69,437550.3787,3120.0
102,PUERTA DEL ÁNGEL,2016,4473487.258,437907.9825,8110.0
102,PUERTA DEL ÁNGEL,2018,4473487.258,437907.9825,8808.0
102,PUERTA DEL ÁNGEL,2019,4473487.258,437907.9825,9268.0
103,LUCERO,2016,4472679.645,436327.8871,6275.0
103,LUCERO,2018,4472679.645,436327.8871,6692.0
103,LUCERO,2019,4472679.645,436327.8871,7080.0
104,ALUCHE,2016,4471531.816,435779.5365,11996.0
104,ALUCHE,2018,4471531.816,435779.5365,12335.0
104,ALUCHE,2019,4471531.816,435779.5365,12755.0
105,CAMPAMENTO,2016,4470817.836,431786.0869,3680.0
105,CAMPAMENTO,2018,4470817.836,431786.0869,3888.0
105,CAMPAMENTO,2019,4470817.836,431786.0869,4037.0
106,CUATRO VIENTOS,2016,4468973.502,433434.5775,1463.0
106,CUATRO VIENTOS,2018,4468973.502,433434.5775,1603.0
106,CUATRO VIENTOS,2019,4468973.502,433434.5775,1630.0
107,LAS ÁGUILAS,2016,4470420.122,434547.9376,7925.0
107,LAS ÁGUILAS,2018,4470420.122,434547.9376,8336.0
107,LAS ÁGUILAS,2019,4470420.122,434547.9376,8695.0
111,COMILLAS,2016,4471676.723,439576.9792,4171.0
111,COMILLAS,2018,4471676.723,439576.9792,4562.0
111,COMILLAS,2019,4471676.723,439576.9792,4861.0
112,OPAÑEL,2016,4471320.131,438741.1131,5383.0
112,OPAÑEL,2018,4471320.131,438741.1131,5900.0
112,OPAÑEL,2019,4471320.131,438741.1131,6273.0
113,SAN ISIDRO,2016,4472031.606,438190.5428,5567.0
113,SAN ISIDRO,2018,4472031.606,438190.5428,6126.0
113,SAN ISIDRO,2019,4472031.606,438190.5428,6464.0
114,VISTA ALEGRE,2016,4470681.208,436700.7182,6335.0
114,VISTA ALEGRE,2018,4470681.208,436700.7182,6751.0
114,VISTA ALEGRE,2019,4470681.208,436700.7182,7065.0
115,PUERTA BONITA,2016,4470159.472,437262.2706,3845.0
115,PUERTA BONITA,2018,4470159.472,437262.2706,4273.0
115,PUERTA BONITA,2019,4470159.472,437262.2706,4540.0
116,BUENAVISTA,2016,4468769.588,436656.9012,7941.0
116,BUENAVISTA,2018,4468769.588,436656.9012,8569.0
116,BUENAVISTA,2019,4468769.588,436656.9012,8872.0
117,ABRANTES,2016,4470074.329,438358.4198,4084.0
117,ABRANTES,2018,4470074.329,438358.4198,4275.0
117,ABRANTES,2019,4470074.329,438358.4198,4519.0
121,ORCASITAS,2016,4468916.31,439516.2653,2273.0
121,ORCASITAS,2018,4468916.31,439516.2653,2374.0
121,ORCASITAS,2019,4468916.31,439516.2653,2516.0
122,ORCASUR,2016,4469305.319,440733.1193,1405.0
122,ORCASUR,2018,4469305.319,440733.1193,1511.0
122,ORCASUR,2019,4469305.319,440733.1193,1582.0
123,SAN FERMÍN,2016,4469120.886,441499.985,2646.0
123,SAN FERMÍN,2018,4469120.886,441499.985,2775.0
123,SAN FERMÍN,2019,4469120.886,441499.985,2936.0
124,ALMENDRALES,2016,4470576.407,440645.9665,2414.0
124,ALMENDRALES,2018,4470576.407,440645.9665,2683.0
124,ALMENDRALES,2019,4470576.407,440645.9665,2903.0
125,MOSCARDÓ,2016,4471173.407,440009.8419,3481.0
125,MOSCARDÓ,2018,4471173.407,440009.8419,3769.0
125,MOSCARDÓ,2019,4471173.407,440009.8419,4047.0
126,ZOFÍO,2016,4470110.376,439279.8576,1388.0
126,ZOFÍO,2018,4470110.376,439279.8576,1431.0
126,ZOFÍO,2019,4470110.376,439279.8576,1517.0
127,PRADOLONGO,2016,4469968.652,439974.4688,1409.0
127,PRADOLONGO,2018,4469968.652,439974.4688,1451.0
127,PRADOLONGO,2019,4469968.652,439974.4688,1509.0
131,ENTREVÍAS,2016,4469574.278,442858.5724,1907.0
131,ENTREVÍAS,2018,4469574.278,442858.5724,2066.0
131,ENTREVÍAS,2019,4469574.278,442858.5724,2270.0
132,SAN DIEGO,2016,4471262.193,443316.4678,3948.0
132,SAN DIEGO,2018,4471262.193,443316.4678,4383.0
132,SAN DIEGO,2019,4471262.193,443316.4678,4848.0
133,PALOMERAS BAJAS,2016,4470671.33,444074.8694,5286.0
133,PALOMERAS BAJAS,2018,4470671.33,444074.8694,5604.0
133,PALOMERAS BAJAS,2019,4470671.33,444074.8694,5862.0
134,PALOMERAS SURESTE,2016,4470708.716,445907.486,4293.0
134,PALOMERAS SURESTE,2018,4470708.716,445907.486,4663.0
134,PALOMERAS SURESTE,2019,4470708.716,445907.486,5013.0
135,PORTAZGO,2016,4471314.521,444982.7317,2358.0
135,PORTAZGO,2018,4471314.521,444982.7317,2562.0
135,PORTAZGO,2019,4471314.521,444982.7317,2760.0
136,NUMANCIA,2016,4472306.995,444116.7652,5471.0
136,NUMANCIA,2018,4472306.995,444116.7652,5994.0
136,NUMANCIA,2019,4472306.995,444116.7652,6419.0
141,PAVONES,2016,4472183.36,446353.3523,1731.0
141,PAVONES,2018,4472183.36,446353.3523,1816.0
141,PAVONES,2019,4472183.36,446353.3523,1884.0
142,HORCAJO,2016,4473295.298,446804.3855,1772.0
142,HORCAJO,2018,4473295.298,446804.3855,1825.0
142,HORCAJO,2019,4473295.298,446804.3855,1864.0
143,MARROQUINA,2016,4473543.376,445646.4672,7262.0
143,MARROQUINA,2018,4473543.376,445646.4672,7588.0
143,MARROQUINA,2019,4473543.376,445646.4672,7830.0
144,MEDIA LEGUA,2016,4473682.217,444272.189,4178.0
144,MEDIA LEGUA,2018,4473682.217,444272.189,4381.0
144,MEDIA LEGUA,2019,4473682.217,444272.189,4547.0
145,FONTARRÓN,2016,4472512.703,445115.9638,2628.0
145,FONTARRÓN,2018,4472512.703,445115.9638,2833.0
145,FONTARRÓN,2019,4472512.703,445115.9638,3005.0
146,VINATEROS,2016,4472936.191,445482.8128,3257.0
146,VINATEROS,2018,4472936.191,445482.8128,3493.0
146,VINATEROS,2019,4472936.191,445482.8128,3658.0
151,VENTAS,2016,4474850.803,445079.4926,8875.0
151,VENTAS,2018,4474850.803,445079.4926,9513.0
151,VENTAS,2019,4474850.803,445079.4926,10053.0
152,PUEBLO NUEVO,2016,4475266.901,446095.6831,10591.0
152,PUEBLO NUEVO,2018,4475266.901,446095.6831,11486.0
152,PUEBLO NUEVO,2019,4475266.901,446095.6831,12251.0
153,QUINTANA,2016,4476462.964,445289.7605,5616.0
153,QUINTANA,2018,4476462.964,445289.7605,6037.0
153,QUINTANA,2019,4476462.964,445289.7605,6372.0
154,CONCEPCIÓN,2016,4476721.345,444934.1577,6032.0
155,SAN PASCUAL,2016,4477117.637,444582.4,5746.0
155,SAN PASCUAL,2018,4477117.637,444582.4,6035.0
155,SAN PASCUAL,2019,4477117.637,444582.4,6157.0
156,SAN JUAN BAUTISTA,2016,4477988.461,444343.151,5352.0
156,SAN JUAN BAUTISTA,2018,4477988.461,444343.151,5569.0
156,SAN JUAN BAUTISTA,2019,4477988.461,444343.151,5710.0
157,COLINA,2016,4478807.34,444014.4325,2731.0
157,COLINA,2018,4478807.34,444014.4325,2903.0
157,COLINA,2019,4478807.34,444014.4325,3002.0
158,ATALAYA,2016,4479501.192,443626.7881,701.0
158,ATALAYA,2018,4479501.192,443626.7881,702.0
158,ATALAYA,2019,4479501.192,443626.7881,725.0
159,COSTILLARES,2016,4480877.84,443334.1197,9950.0
159,COSTILLARES,2018,4480877.84,443334.1197,10306.0
159,COSTILLARES,2019,4480877.84,443334.1197,10417.0
161,PALOMAS,2016,4478175.942,447754.9382,2850.0
161,PALOMAS,2018,4478175.942,447754.9382,2991.0
161,PALOMAS,2019,4478175.942,447754.9382,3066.0
