COD_DISBAR,BARRIOS,NRO_PERSONAS,ANIO,LATITUD,LONGITUD
11,PALACIO,3652.0,2016,4474110.875,439417.7914
12,EMBAJADORES,11091.0,2016,4473417.211,440397.1764
13,CORTES,2183.0,2016,4474035.577,440880.1521
14,JUSTICIA,3042.0,2016,4475014.208,440900.7625
15,UNIVERSIDAD,6240.0,2016,4475244.247,440020.8477
16,SOL,1890.0,2016,4474314.564,440226.8442
21,IMPERIAL,1487.0,2016,4473089.616,439045.6199
22,ACACIAS,2373.0,2016,4472513.434,439982.8536
23,CHOPERA,2644.0,2016,4471808.825,440672.2536
24,LEGAZPI,1309.0,2016,4471151.447,441682.9396
25,DELICIAS,2996.0,2016,4472027.934,441453.464
26,PALOS DE MOGUER,3659.0,2016,4472774.286,441057.6445
27,ATOCHA,54.0,2016,4472353.007,442131.2346
31,PACÍFICO,2666.0,2016,4472859.079,442407.5013
32,ADELFAS,1162.0,2016,4472494.747,443062.2345
33,ESTRELLA,858.0,2016,4473931.01,443534.9304
34,IBIZA,1946.0,2016,4474469.277,442791.7959
35,JERÓNIMOS,655.0,2016,4473905.687,441870.6698
36,NIÑO JESÚS,721.0,2016,4473660.907,442862.905
41,RECOLETOS,2125.0,2016,4475110.43,441820.8979
42,GOYA,3324.0,2016,4475153.753,442789.9119
43,FUENTE DEL BERRO,2215.0,2016,4475116.489,443691.2602
44,GUINDALERA,3772.0,2016,4476402.061,443463.5845
45,LISTA,2682.0,2016,4475927.641,442676.6687
46,CASTELLANA,2462.0,2016,4476104.298,441959.5528
51,EL VISO,1897.0,2016,4477360.964,441927.2958
52,PROSPERIDAD,3288.0,2016,4477279.652,443241.5164
53,CIUDAD JARDÍN,1929.0,2016,4477733.182,442929.7851
54,HISPANOAMÉRICA,2144.0,2016,4478520.651,442584.7337
55,NUEVA ESPAÑA,2046.0,2016,4479342.236,442506.6745
56,CASTILLA,1256.0,2016,4480625.699,442382.2751
61,BELLAS VISTAS,6041.0,2016,4478217.699,439996.5425
62,CUATRO CAMINOS,4601.0,2016,4478108.124,440893.969
63,CASTILLEJOS,2762.0,2016,4479092.74,441146.7116
64,ALMENARA,2696.0,2016,4480229.372,441142.6001
65,VALDEACEDERAS,4705.0,2016,4479832.029,440304.6074
66,BERRUGUETE,5147.0,2016,4479011.421,440230.3974
71,GAZTAMBIDE,2470.0,2016,4476283.322,439389.8945
72,ARAPILES,2488.0,2016,4476214.595,439947.5584
73,TRAFALGAR,2920.0,2016,4476037.29,440530.8517
74,ALMAGRO,2405.0,2016,4476032.059,441174.9953
75,RÍOS ROSAS,2776.0,2016,4477096.745,440826.6665
