COD_DISBAR,BARRIOS,NRO_MEDIA_PERSONAS,ANIO,LATITUD,LONGITUD
11,PALACIO,2.01,2016,4474110.875,439417.7914
12,EMBAJADORES,2.07,2016,4473417.211,440397.1764
13,CORTES,1.98,2016,4474035.577,440880.1521
14,JUSTICIA,1.97,2016,4475014.208,440900.7625
15,UNIVERSIDAD,1.97,2016,4475244.247,440020.8477
16,SOL,1.97,2016,4474314.564,440226.8442
21,IMPERIAL,2.39,2016,4473089.616,439045.6199
22,ACACIAS,2.4,2016,4472513.434,439982.8536
23,CHOPERA,2.37,2016,4471808.825,440672.2536
24,LEGAZPI,2.55,2016,4471151.447,441682.9396
25,DELICIAS,2.4,2016,4472027.934,441453.464
26,PALOS DE MOGUER,2.22,2016,4472774.286,441057.6445
27,ATOCHA,2.66,2016,4472353.007,442131.2346
31,PACÍFICO,2.33,2016,4472859.079,442407.5013
32,ADELFAS,2.44,2016,4472494.747,443062.2345
33,ESTRELLA,2.71,2016,4473931.01,443534.9304
34,IBIZA,2.33,2016,4474469.277,442791.7959
35,JERÓNIMOS,2.53,2016,4473905.687,441870.6698
36,NIÑO JESÚS,2.74,2016,4473660.907,442862.905
41,RECOLETOS,2.37,2016,4475110.43,441820.8979
42,GOYA,2.25,2016,4475153.753,442789.9119
43,FUENTE DEL BERRO,2.28,2016,4475116.489,443691.2602
44,GUINDALERA,2.36,2016,4476402.061,443463.5845
45,LISTA,2.29,2016,4475927.641,442676.6687
46,CASTELLANA,2.47,2016,4476104.298,441959.5528
51,EL VISO,2.83,2016,4477360.964,441927.2958
52,PROSPERIDAD,2.32,2016,4477279.652,443241.5164
53,CIUDAD JARDÍN,2.36,2016,4477733.182,442929.7851
54,HISPANOAMÉRICA,2.57,2016,4478520.651,442584.7337
55,NUEVA ESPAÑA,2.67,2016,4479342.236,442506.6745
56,CASTILLA,2.57,2016,4480625.699,442382.2751
61,BELLAS VISTAS,2.45,2016,4478217.699,439996.5425
62,CUATRO CAMINOS,2.29,2016,4478108.124,440893.969
63,CASTILLEJOS,2.21,2016,4479092.74,441146.7116
64,ALMENARA,2.43,2016,4480229.372,441142.6001
65,VALDEACEDERAS,2.43,2016,4479832.029,440304.6074
66,BERRUGUETE,2.43,2016,4479011.421,440230.3974
71,GAZTAMBIDE,2.21,2016,4476283.322,439389.8945
72,ARAPILES,2.2,2016,4476214.595,439947.5584
73,TRAFALGAR,2.13,2016,4476037.29,440530.8517
74,ALMAGRO,2.48,2016,4476032.059,441174.9953
75,RÍOS ROSAS,2.27,2016,4477096.745,440826.6665
76,VALLEHERMOSO,2.43,2016,4477158.887,439682.3814
81,EL PARDO,2.62,2016,4489409.578,435018.7103
82,FUENTELAREINA,2.98,2016,4481421.762,437127.6497
83,PEÑAGRANDE,2.65,2016,4481152.656,438480.3153
84,PILAR,2.39,2016,4480959.021,439853.0231
85,LA PAZ,2.74,2016,4481394.724,440957.8603
86,VALVERDE,2.71,2016,4483501.173,442483.6118
87,MIRASIERRA,3.14,2016,4483094.181,439024.2924
88,EL GOLOSO,3.22,2016,4487307.227,440716.0024
91,CASA DE CAMPO,2.34,2016,4475050.323,436118.4975
92,ARGÜELLES,2.33,2016,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,2.66,2016,4478627.02,437391.5065
94,VALDEZARZA,2.46,2016,4479644.899,439188.6628
95,VALDEMARÍN,3.54,2016,4480009.063,433968.0416
96,EL PLANTÍO,3.18,2016,4480219.592,430409.7127
97,ARAVACA,3.14,2016,4478516.428,433939.3352
101,LOS CÁRMENES,2.64,2016,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,2.38,2016,4473487.258,437907.9825
103,LUCERO,2.52,2016,4472679.645,436327.8871
104,ALUCHE,2.5,2016,4471531.816,435779.5365
105,CAMPAMENTO,2.6,2016,4470817.836,431786.0869
106,CUATRO VIENTOS,2.61,2016,4468973.502,433434.5775
107,LAS ÁGUILAS,2.48,2016,4470420.122,434547.9376
111,COMILLAS,2.38,2016,4471676.723,439576.9792
112,OPAÑEL,2.47,2016,4471320.131,438741.1131
113,SAN ISIDRO,2.56,2016,4472031.606,438190.5428
114,VISTA ALEGRE,2.61,2016,4470681.208,436700.7182
115,PUERTA BONITA,2.71,2016,4470159.472,437262.2706
116,BUENAVISTA,2.71,2016,4468769.588,436656.9012
117,ABRANTES,2.7,2016,4470074.329,438358.4198
121,ORCASITAS,2.66,2016,4468916.31,439516.2653
122,ORCASUR,2.88,2016,4469305.319,440733.1193
123,SAN FERMÍN,2.84,2016,4469120.886,441499.985
124,ALMENDRALES,2.74,2016,4470576.407,440645.9665
125,MOSCARDÓ,2.64,2016,4471173.407,440009.8419
126,ZOFÍO,2.72,2016,4470110.376,439279.8576
127,PRADOLONGO,2.86,2016,4469968.652,439974.4688
131,ENTREVÍAS,2.68,2016,4469574.278,442858.5724
132,SAN DIEGO,2.56,2016,4471262.193,443316.4678
133,PALOMERAS BAJAS,2.66,2016,4470671.33,444074.8694
134,PALOMERAS SURESTE,2.67,2016,4470708.716,445907.486
135,PORTAZGO,2.62,2016,4471314.521,444982.7317
136,NUMANCIA,2.59,2016,4472306.995,444116.7652
141,PAVONES,2.85,2016,4472183.36,446353.3523
142,HORCAJO,2.99,2016,4473295.298,446804.3855
143,MARROQUINA,2.56,2016,4473543.376,445646.4672
144,MEDIA LEGUA,2.52,2016,4473682.217,444272.189
145,FONTARRÓN,2.45,2016,4472512.703,445115.9638
146,VINATEROS,2.35,2016,4472936.191,445482.8128
151,VENTAS,2.41,2016,4474850.803,445079.4926
152,PUEBLO NUEVO,2.57,2016,4475266.901,446095.6831
153,QUINTANA,2.38,2016,4476462.964,445289.7605
154,CONCEPCIÓN,2.31,2016,4476721.345,444934.1577
155,SAN PASCUAL,2.44,2016,4477117.637,444582.4
156,SAN JUAN BAUTISTA,2.59,2016,4477988.461,444343.151
157,COLINA,2.49,2016,4478807.34,444014.4325
158,ATALAYA,2.73,2016,4479501.192,443626.7881
159,COSTILLARES,2.82,2016,4480877.84,443334.1197
161,PALOMAS,3.06,2016,4478175.942,447754.9382
162,PIOVERA,3.06,2016,4478532.529,446151.4886
163,CANILLAS,2.56,2016,4479433.42,445426.2189
164,PINAR DEL REY,2.49,2016,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,2.66,2016,4480844.351,444105.2521
166,VALDEFUENTES,2.85,2016,4482753.289,446176.0779
172,SAN CRISTÓBAL,3.03,2016,4465820.907,441533.8022
173,BUTARQUE,2.83,2016,4465394.096,442559.7779
174,LOS ROSALES,2.82,2016,4467464.76,441536.5956
175,LOS ÁNGELES,2.57,2016,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,2.54,2016,4466332.267,447496.1334
182,SANTA EUGENIA,2.77,2016,4470494.392,448110.1432
