COD_DISBAR,BARRIOS,ANIO,NRO_HOSPEDAJES
11,PALACIO,2016,19
11,PALACIO,2018,102
11,PALACIO,2019,1088
12,EMBAJADORES,2016,42
12,EMBAJADORES,2018,153
12,EMBAJADORES,2019,2021
13,CORTES,2016,9
13,CORTES,2018,63
13,CORTES,2019,743
14,JUSTICIA,2016,19
14,JUSTICIA,2018,75
14,JUSTICIA,2019,851
15,UNIVERSIDAD,2016,17
15,UNIVERSIDAD,2018,135
15,UNIVERSIDAD,2019,1428
16,SOL,2016,16
16,SOL,2018,91
16,SOL,2019,1026
21,IMPERIAL,2016,4
21,IMPERIAL,2018,8
21,IMPERIAL,2019,93
22,ACACIAS,2016,3
22,ACACIAS,2018,17
22,ACACIAS,2019,130
23,CHOPERA,2016,2
23,CHOPERA,2018,10
23,CHOPERA,2019,110
24,LEGAZPI,2016,3
24,LEGAZPI,2018,5
24,LEGAZPI,2019,41
25,DELICIAS,2016,2
25,DELICIAS,2018,23
25,DELICIAS,2019,122
26,PALOS DE MOGUER,2016,6
26,PALOS DE MOGUER,2018,20
26,PALOS DE MOGUER,2019,249
27,ATOCHA,2019,16
31,PACÍFICO,2016,2
31,PACÍFICO,2018,10
31,PACÍFICO,2019,129
32,ADELFAS,2016,1
32,ADELFAS,2018,5
32,ADELFAS,2019,62
33,ESTRELLA,2018,4
33,ESTRELLA,2019,19
34,IBIZA,2016,6
34,IBIZA,2018,26
34,IBIZA,2019,108
35,JERÓNIMOS,2016,1
35,JERÓNIMOS,2018,8
35,JERÓNIMOS,2019,75
36,NIÑO JESÚS,2018,5
36,NIÑO JESÚS,2019,26
41,RECOLETOS,2016,3
41,RECOLETOS,2018,20
41,RECOLETOS,2019,191
42,GOYA,2016,4
42,GOYA,2018,25
42,GOYA,2019,206
43,FUENTE DEL BERRO,2016,1
43,FUENTE DEL BERRO,2018,19
43,FUENTE DEL BERRO,2019,82
44,GUINDALERA,2016,3
44,GUINDALERA,2018,21
44,GUINDALERA,2019,141
45,LISTA,2016,1
45,LISTA,2018,24
45,LISTA,2019,117
46,CASTELLANA,2016,9
46,CASTELLANA,2018,11
46,CASTELLANA,2019,104
51,EL VISO,2018,9
51,EL VISO,2019,38
52,PROSPERIDAD,2016,3
52,PROSPERIDAD,2018,13
52,PROSPERIDAD,2019,78
53,CIUDAD JARDÍN,2016,3
53,CIUDAD JARDÍN,2018,6
53,CIUDAD JARDÍN,2019,44
54,HISPANOAMÉRICA,2016,1
54,HISPANOAMÉRICA,2018,11
54,HISPANOAMÉRICA,2019,63
55,NUEVA ESPAÑA,2018,2
55,NUEVA ESPAÑA,2019,39
56,CASTILLA,2018,3
56,CASTILLA,2019,54
61,BELLAS VISTAS,2018,14
61,BELLAS VISTAS,2019,100
62,CUATRO CAMINOS,2016,8
62,CUATRO CAMINOS,2018,14
62,CUATRO CAMINOS,2019,119
63,CASTILLEJOS,2016,1
63,CASTILLEJOS,2018,8
63,CASTILLEJOS,2019,79
64,ALMENARA,2016,1
64,ALMENARA,2018,7
64,ALMENARA,2019,51
65,VALDEACEDERAS,2016,1
65,VALDEACEDERAS,2018,6
65,VALDEACEDERAS,2019,68
66,BERRUGUETE,2016,3
66,BERRUGUETE,2018,10
66,BERRUGUETE,2019,80
71,GAZTAMBIDE,2016,5
71,GAZTAMBIDE,2018,17
71,GAZTAMBIDE,2019,112
72,ARAPILES,2016,3
72,ARAPILES,2018,15
