COD_DISBAR,BARRIOS,TIPO_VIVIENDA,PRECIO(EUROS/M2),ANIO,LATITUD,LONGITUD
11,PALACIO,NUEVAS,3337.43,2016,4474110.875,439417.7914
12,EMBAJADORES,NUEVAS,0.0,2016,4473417.211,440397.1764
13,CORTES,NUEVAS,0.0,2016,4474035.577,440880.1521
14,JUSTICIA,NUEVAS,0.0,2016,4475014.208,440900.7625
15,UNIVERSIDAD,NUEVAS,0.0,2016,4475244.247,440020.8477
16,SOL,NUEVAS,0.0,2016,4474314.564,440226.8442
21,IMPERIAL,NUEVAS,2420.22,2016,4473089.616,439045.6199
22,ACACIAS,NUEVAS,0.0,2016,4472513.434,439982.8536
23,CHOPERA,NUEVAS,2607.54,2016,4471808.825,440672.2536
24,LEGAZPI,NUEVAS,3107.32,2016,4471151.447,441682.9396
25,DELICIAS,NUEVAS,3037.74,2016,4472027.934,441453.464
26,PALOS DE MOGUER,NUEVAS,0.0,2016,4472774.286,441057.6445
27,ATOCHA,NUEVAS,0.0,2016,4472353.007,442131.2346
31,PACÍFICO,NUEVAS,0.0,2016,4472859.079,442407.5013
32,ADELFAS,NUEVAS,0.0,2016,4472494.747,443062.2345
33,ESTRELLA,NUEVAS,0.0,2016,4473931.01,443534.9304
34,IBIZA,NUEVAS,0.0,2016,4474469.277,442791.7959
35,JERÓNIMOS,NUEVAS,0.0,2016,4473905.687,441870.6698
36,NIÑO JESÚS,NUEVAS,0.0,2016,4473660.907,442862.905
41,RECOLETOS,NUEVAS,0.0,2016,4475110.43,441820.8979
42,GOYA,NUEVAS,0.0,2016,4475153.753,442789.9119
43,FUENTE DEL BERRO,NUEVAS,0.0,2016,4475116.489,443691.2602
44,GUINDALERA,NUEVAS,0.0,2016,4476402.061,443463.5845
45,LISTA,NUEVAS,0.0,2016,4475927.641,442676.6687
46,CASTELLANA,NUEVAS,0.0,2016,4476104.298,441959.5528
51,EL VISO,NUEVAS,0.0,2016,4477360.964,441927.2958
52,PROSPERIDAD,NUEVAS,2745.37,2016,4477279.652,443241.5164
53,CIUDAD JARDÍN,NUEVAS,0.0,2016,4477733.182,442929.7851
54,HISPANOAMÉRICA,NUEVAS,0.0,2016,4478520.651,442584.7337
55,NUEVA ESPAÑA,NUEVAS,0.0,2016,4479342.236,442506.6745
56,CASTILLA,NUEVAS,0.0,2016,4480625.699,442382.2751
61,BELLAS VISTAS,NUEVAS,0.0,2016,4478217.699,439996.5425
62,CUATRO CAMINOS,NUEVAS,2647.24,2016,4478108.124,440893.969
63,CASTILLEJOS,NUEVAS,0.0,2016,4479092.74,441146.7116
64,ALMENARA,NUEVAS,3147.25,2016,4480229.372,441142.6001
65,VALDEACEDERAS,NUEVAS,2279.84,2016,4479832.029,440304.6074
66,BERRUGUETE,NUEVAS,2733.2,2016,4479011.421,440230.3974
71,GAZTAMBIDE,NUEVAS,0.0,2016,4476283.322,439389.8945
