COD_DISBAR,BARRIOS,TIPO_VIVIENDA,PRECIO(EUROS/M2),ANIO,LATITUD,LONGITUD
11,PALACIO,USADAS,3257.02,2016,4474110.875,439417.7914
12,EMBAJADORES,USADAS,3040.69,2016,4473417.211,440397.1764
13,CORTES,USADAS,3676.52,2016,4474035.577,440880.1521
14,JUSTICIA,USADAS,4346.32,2016,4475014.208,440900.7625
15,UNIVERSIDAD,USADAS,3612.49,2016,4475244.247,440020.8477
16,SOL,USADAS,3698.16,2016,4474314.564,440226.8442
21,IMPERIAL,USADAS,2681.34,2016,4473089.616,439045.6199
22,ACACIAS,USADAS,2555.01,2016,4472513.434,439982.8536
23,CHOPERA,USADAS,2597.23,2016,4471808.825,440672.2536
24,LEGAZPI,USADAS,3233.35,2016,4471151.447,441682.9396
25,DELICIAS,USADAS,2774.2,2016,4472027.934,441453.464
26,PALOS DE MOGUER,USADAS,2516.86,2016,4472774.286,441057.6445
27,ATOCHA,USADAS,0.0,2016,4472353.007,442131.2346
31,PACÍFICO,USADAS,2864.12,2016,4472859.079,442407.5013
32,ADELFAS,USADAS,2895.68,2016,4472494.747,443062.2345
33,ESTRELLA,USADAS,2841.38,2016,4473931.01,443534.9304
34,IBIZA,USADAS,3829.53,2016,4474469.277,442791.7959
35,JERÓNIMOS,USADAS,4203.64,2016,4473905.687,441870.6698
36,NIÑO JESÚS,USADAS,3840.13,2016,4473660.907,442862.905
41,RECOLETOS,USADAS,5894.08,2016,4475110.43,441820.8979
42,GOYA,USADAS,3974.29,2016,4475153.753,442789.9119
43,FUENTE DEL BERRO,USADAS,3411.84,2016,4475116.489,443691.2602
44,GUINDALERA,USADAS,3062.03,2016,4476402.061,443463.5845
45,LISTA,USADAS,3941.14,2016,4475927.641,442676.6687
46,CASTELLANA,USADAS,5517.06,2016,4476104.298,441959.5528
51,EL VISO,USADAS,5207.55,2016,4477360.964,441927.2958
52,PROSPERIDAD,USADAS,3025.05,2016,4477279.652,443241.5164
53,CIUDAD JARDÍN,USADAS,3342.57,2016,4477733.182,442929.7851
54,HISPANOAMÉRICA,USADAS,3885.08,2016,4478520.651,442584.7337
55,NUEVA ESPAÑA,USADAS,4611.8,2016,4479342.236,442506.6745
56,CASTILLA,USADAS,3322.0,2016,4480625.699,442382.2751
61,BELLAS VISTAS,USADAS,2212.76,2016,4478217.699,439996.5425
62,CUATRO CAMINOS,USADAS,2917.68,2016,4478108.124,440893.969
63,CASTILLEJOS,USADAS,3310.69,2016,4479092.74,441146.7116
64,ALMENARA,USADAS,2076.63,2016,4480229.372,441142.6001
65,VALDEACEDERAS,USADAS,1993.57,2016,4479832.029,440304.6074
66,BERRUGUETE,USADAS,2088.59,2016,4479011.421,440230.3974
71,GAZTAMBIDE,USADAS,3485.32,2016,4476283.322,439389.8945
72,ARAPILES,USADAS,3529.7,2016,4476214.595,439947.5584
73,TRAFALGAR,USADAS,3912.6,2016,4476037.29,440530.8517
74,ALMAGRO,USADAS,4695.47,2016,4476032.059,441174.9953
75,RÍOS ROSAS,USADAS,3959.44,2016,4477096.745,440826.6665
76,VALLEHERMOSO,USADAS,3507.25,2016,4477158.887,439682.3814
81,EL PARDO,USADAS,2162.86,2016,4489409.578,435018.7103
82,FUENTELAREINA,USADAS,0.0,2016,4481421.762,437127.6497
83,PEÑAGRANDE,USADAS,2309.64,2016,4481152.656,438480.3153
84,PILAR,USADAS,2377.1,2016,4480959.021,439853.0231
85,LA PAZ,USADAS,2790.71,2016,4481394.724,440957.8603
86,VALVERDE,USADAS,2667.84,2016,4483501.173,442483.6118
87,MIRASIERRA,USADAS,3394.26,2016,4483094.181,439024.2924
88,EL GOLOSO,USADAS,0.0,2016,4487307.227,440716.0024
91,CASA DE CAMPO,USADAS,2764.74,2016,4475050.323,436118.4975
92,ARGÜELLES,USADAS,3548.76,2016,4475533.294,439109.0847
93,CIUDAD UNIVERSITARIA,USADAS,2859.41,2016,4478627.02,437391.5065
94,VALDEZARZA,USADAS,1951.8,2016,4479644.899,439188.6628
95,VALDEMARÍN,USADAS,3838.88,2016,4480009.063,433968.0416
96,EL PLANTÍO,USADAS,0.0,2016,4480219.592,430409.7127
97,ARAVACA,USADAS,3057.46,2016,4478516.428,433939.3352
101,LOS CÁRMENES,USADAS,1544.15,2016,4472579.69,437550.3787
102,PUERTA DEL ÁNGEL,USADAS,1668.92,2016,4473487.258,437907.9825
103,LUCERO,USADAS,1551.17,2016,4472679.645,436327.8871
104,ALUCHE,USADAS,1574.48,2016,4471531.816,435779.5365
105,CAMPAMENTO,USADAS,1521.75,2016,4470817.836,431786.0869
106,CUATRO VIENTOS,USADAS,2452.0,2016,4468973.502,433434.5775
107,LAS ÁGUILAS,USADAS,1595.35,2016,4470420.122,434547.9376
111,COMILLAS,USADAS,1659.3,2016,4471676.723,439576.9792
