COD_DISBAR,BARRIOS,ANIO,NRO_TERRAZAS
11,PALACIO,2016,146
11,PALACIO,2018,158
11,PALACIO,2019,159
12,EMBAJADORES,2016,100
12,EMBAJADORES,2018,103
12,EMBAJADORES,2019,109
13,CORTES,2016,58
13,CORTES,2018,63
13,CORTES,2019,62
14,JUSTICIA,2016,66
14,JUSTICIA,2018,67
14,JUSTICIA,2019,69
15,UNIVERSIDAD,2016,84
15,UNIVERSIDAD,2018,86
15,UNIVERSIDAD,2019,90
16,SOL,2016,164
16,SOL,2018,164
16,SOL,2019,164
21,IMPERIAL,2016,48
21,IMPERIAL,2018,52
21,IMPERIAL,2019,51
22,ACACIAS,2016,62
22,ACACIAS,2018,78
22,ACACIAS,2019,74
23,CHOPERA,2016,25
23,CHOPERA,2018,31
23,CHOPERA,2019,34
24,LEGAZPI,2016,24
24,LEGAZPI,2018,34
24,LEGAZPI,2019,41
25,DELICIAS,2016,33
25,DELICIAS,2018,44
25,DELICIAS,2019,42
26,PALOS DE MOGUER,2016,58
26,PALOS DE MOGUER,2018,71
26,PALOS DE MOGUER,2019,71
27,ATOCHA,2016,5
27,ATOCHA,2018,6
27,ATOCHA,2019,6
31,PACÍFICO,2016,57
31,PACÍFICO,2018,65
31,PACÍFICO,2019,68
32,ADELFAS,2016,12
32,ADELFAS,2018,17
32,ADELFAS,2019,18
33,ESTRELLA,2016,7
33,ESTRELLA,2018,16
33,ESTRELLA,2019,17
34,IBIZA,2016,56
34,IBIZA,2018,81
34,IBIZA,2019,86
35,JERÓNIMOS,2016,22
35,JERÓNIMOS,2018,37
35,JERÓNIMOS,2019,35
36,NIÑO JESÚS,2016,23
41,RECOLETOS,2016,66
41,RECOLETOS,2018,57
41,RECOLETOS,2019,66
42,GOYA,2016,72
42,GOYA,2018,55
42,GOYA,2019,65
43,FUENTE DEL BERRO,2016,26
43,FUENTE DEL BERRO,2018,16
43,FUENTE DEL BERRO,2019,20
44,GUINDALERA,2016,47
44,GUINDALERA,2018,40
44,GUINDALERA,2019,48
45,LISTA,2016,67
45,LISTA,2018,50
45,LISTA,2019,55
46,CASTELLANA,2016,71
46,CASTELLANA,2018,66
46,CASTELLANA,2019,67
51,EL VISO,2016,36
51,EL VISO,2018,57
51,EL VISO,2019,59
52,PROSPERIDAD,2016,46
52,PROSPERIDAD,2018,67
52,PROSPERIDAD,2019,70
53,CIUDAD JARDÍN,2016,20
53,CIUDAD JARDÍN,2018,29
53,CIUDAD JARDÍN,2019,31
54,HISPANOAMÉRICA,2016,46
54,HISPANOAMÉRICA,2018,110
54,HISPANOAMÉRICA,2019,117
55,NUEVA ESPAÑA,2016,38
56,CASTILLA,2016,22
56,CASTILLA,2018,35
56,CASTILLA,2019,37
61,BELLAS VISTAS,2016,4
61,BELLAS VISTAS,2018,19
61,BELLAS VISTAS,2019,19
62,CUATRO CAMINOS,2016,9
62,CUATRO CAMINOS,2018,72
62,CUATRO CAMINOS,2019,75
63,CASTILLEJOS,2016,7
63,CASTILLEJOS,2018,62
63,CASTILLEJOS,2019,60
64,ALMENARA,2016,4
64,ALMENARA,2018,18
64,ALMENARA,2019,19
65,VALDEACEDERAS,2016,3
65,VALDEACEDERAS,2018,16
65,VALDEACEDERAS,2019,16
66,BERRUGUETE,2016,3
66,BERRUGUETE,2018,21
66,BERRUGUETE,2019,22
71,GAZTAMBIDE,2016,47
71,GAZTAMBIDE,2018,57
71,GAZTAMBIDE,2019,59
72,ARAPILES,2016,65
72,ARAPILES,2018,74
72,ARAPILES,2019,74
73,TRAFALGAR,2016,88
73,TRAFALGAR,2018,104
73,TRAFALGAR,2019,108
74,ALMAGRO,2016,55
74,ALMAGRO,2018,64
74,ALMAGRO,2019,66
75,RÍOS ROSAS,2016,65
75,RÍOS ROSAS,2018,77
75,RÍOS ROSAS,2019,86
76,VALLEHERMOSO,2016,63
76,VALLEHERMOSO,2018,68
76,VALLEHERMOSO,2019,72
81,EL PARDO,2016,7
81,EL PARDO,2018,8
81,EL PARDO,2019,8
83,PEÑAGRANDE,2016,33
84,PILAR,2016,64
84,PILAR,2018,78
84,PILAR,2019,74
85,LA PAZ,2016,13
85,LA PAZ,2018,16
85,LA PAZ,2019,16
86,VALVERDE,2016,66
86,VALVERDE,2018,82
86,VALVERDE,2019,83
87,MIRASIERRA,2016,13
87,MIRASIERRA,2018,20
87,MIRASIERRA,2019,24
88,EL GOLOSO,2016,22
88,EL GOLOSO,2018,29
88,EL GOLOSO,2019,35
91,CASA DE CAMPO,2016,14
91,CASA DE CAMPO,2018,28
91,CASA DE CAMPO,2019,28
92,ARGÜELLES,2016,32
92,ARGÜELLES,2018,68
92,ARGÜELLES,2019,76
93,CIUDAD UNIVERSITARIA,2016,4
93,CIUDAD UNIVERSITARIA,2018,16
93,CIUDAD UNIVERSITARIA,2019,17
94,VALDEZARZA,2016,6
94,VALDEZARZA,2018,14
94,VALDEZARZA,2019,14
95,VALDEMARÍN,2016,2
95,VALDEMARÍN,2018,1
95,VALDEMARÍN,2019,2
97,ARAVACA,2016,7
97,ARAVACA,2018,19
97,ARAVACA,2019,18
