BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
PALACIO,2016,9752.0,0.0
PALACIO,2018,9664.0,-0.9
PALACIO,2019,9894.0,2.38
EMBAJADORES,2016,22623.0,0.0
EMBAJADORES,2018,22410.0,-0.94
EMBAJADORES,2019,22885.0,2.12
CORTES,2016,4934.0,0.0
CORTES,2018,4837.0,-1.97
CORTES,2019,4882.0,0.93
JUSTICIA,2016,7711.0,0.0
JUSTICIA,2018,7719.0,0.1
JUSTICIA,2019,7912.0,2.5
UNIVERSIDAD,2016,14964.0,0.0
UNIVERSIDAD,2018,14997.0,0.22
UNIVERSIDAD,2019,15573.0,3.84
SOL,2016,3626.0,0.0
SOL,2018,3433.0,-5.32
SOL,2019,3511.0,2.27
IMPERIAL,2016,8413.0,0.0
IMPERIAL,2018,8307.0,-1.26
IMPERIAL,2019,8302.0,-0.06
ACACIAS,2016,13801.0,0.0
CHOPERA,2016,7789.0,0.0
LEGAZPI,2016,8054.0,0.0
LEGAZPI,2018,8139.0,1.06
LEGAZPI,2019,8206.0,0.82
DELICIAS,2016,11094.0,0.0
PALOS DE MOGUER,2016,10737.0,0.0
PALOS DE MOGUER,2018,10713.0,-0.22
PALOS DE MOGUER,2019,10745.0,0.3
ATOCHA,2016,409.0,0.0
ATOCHA,2018,418.0,2.2
ATOCHA,2019,417.0,-0.24
PACÍFICO,2016,12333.0,0.0
PACÍFICO,2018,12112.0,-1.79
PACÍFICO,2019,12087.0,-0.21
ADELFAS,2016,6855.0,0.0
ADELFAS,2018,6903.0,0.7
ADELFAS,2019,6866.0,-0.54
ESTRELLA,2016,7571.0,0.0
IBIZA,2016,7743.0,0.0
IBIZA,2018,7698.0,-0.58
IBIZA,2019,7749.0,0.66
JERÓNIMOS,2016,2455.0,0.0
NIÑO JESÚS,2016,5116.0,0.0
NIÑO JESÚS,2018,5014.0,-1.99
NIÑO JESÚS,2019,5019.0,0.1
RECOLETOS,2016,5828.0,0.0
RECOLETOS,2018,5949.0,2.08
