BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
ABRANTES,2016,4084.0,0.0
ABRANTES,2018,4275.0,4.68
ABRANTES,2019,4519.0,5.71
ACACIAS,2016,14348.0,0.0
ADELFAS,2016,6874.0,0.0
ADELFAS,2018,7416.0,7.88
ADELFAS,2019,7631.0,2.9
AEROPUERTO,2016,140.0,0.0
AEROPUERTO,2018,169.0,20.71
AEROPUERTO,2019,194.0,14.79
ALAMEDA DE OSUNA,2016,7401.0,0.0
ALAMEDA DE OSUNA,2018,7621.0,2.97
ALAMEDA DE OSUNA,2019,7747.0,1.65
ALMAGRO,2016,9413.0,0.0
ALMAGRO,2018,9839.0,4.53
ALMAGRO,2019,10006.0,1.7
ALMENARA,2016,4776.0,0.0
ALMENARA,2018,5368.0,12.4
ALMENARA,2019,5694.0,6.07
ALMENDRALES,2016,2414.0,0.0
ALMENDRALES,2018,2683.0,11.14
ALMENDRALES,2019,2903.0,8.2
ALUCHE,2016,11996.0,0.0
ALUCHE,2018,12335.0,2.83
ALUCHE,2019,12755.0,3.4
AMPOSTA,2016,585.0,0.0
AMPOSTA,2018,659.0,12.65
AMPOSTA,2019,744.0,12.9
APÓSTOL SANTIAGO,2016,3681.0,0.0
APÓSTOL SANTIAGO,2018,3901.0,5.98
APÓSTOL SANTIAGO,2019,4026.0,3.2
ARAPILES,2016,10474.0,0.0
ARAPILES,2018,11207.0,7.0
ARAPILES,2019,11509.0,2.69
ARAVACA,2016,10471.0,0.0
ARAVACA,2018,11018.0,5.22
ARAVACA,2019,11434.0,3.78
ARCOS,2016,3007.0,0.0
ARCOS,2018,3347.0,11.31
ARCOS,2019,3526.0,5.35
ARGÜELLES,2016,11300.0,0.0
ARGÜELLES,2018,11773.0,4.19
ARGÜELLES,2019,12040.0,2.27
ATALAYA,2016,701.0,0.0
ATALAYA,2018,702.0,0.14
ATALAYA,2019,725.0,3.28
ATOCHA,2016,288.0,0.0
ATOCHA,2018,321.0,11.46
ATOCHA,2019,329.0,2.49
BELLAS VISTAS,2016,7423.0,0.0
BELLAS VISTAS,2018,8086.0,8.93
BELLAS VISTAS,2019,8541.0,5.63
BERRUGUETE,2016,5686.0,0.0
BERRUGUETE,2018,6122.0,7.67
BERRUGUETE,2019,6429.0,5.01
BUENAVISTA,2016,7941.0,0.0
BUENAVISTA,2018,8569.0,7.91
BUENAVISTA,2019,8872.0,3.54
BUTARQUE,2016,2606.0,0.0
