BARRIOS,ANIO,NRO_PERSONAS,PORCENTAJE_EVOLUCION
ABRANTES,2016,4598.0,0.0
ABRANTES,2018,5262.0,14.44
ABRANTES,2019,6030.0,14.6
ACACIAS,2016,2373.0,0.0
ADELFAS,2016,1162.0,0.0
ADELFAS,2018,1184.0,1.89
ADELFAS,2019,1303.0,10.05
AEROPUERTO,2016,299.0,0.0
AEROPUERTO,2018,347.0,16.05
AEROPUERTO,2019,377.0,8.65
ALAMEDA DE OSUNA,2016,1085.0,0.0
ALAMEDA DE OSUNA,2018,1044.0,-3.78
ALAMEDA DE OSUNA,2019,1104.0,5.75
ALMAGRO,2016,2405.0,0.0
ALMAGRO,2018,2536.0,5.45
ALMAGRO,2019,2678.0,5.6
ALMENARA,2016,2696.0,0.0
ALMENARA,2018,2985.0,10.72
ALMENARA,2019,3261.0,9.25
ALMENDRALES,2016,4921.0,0.0
ALMENDRALES,2018,5496.0,11.68
ALMENDRALES,2019,5869.0,6.79
ALUCHE,2016,9033.0,0.0
ALUCHE,2018,9897.0,9.56
ALUCHE,2019,10637.0,7.48
AMPOSTA,2016,970.0,0.0
AMPOSTA,2018,1182.0,21.86
AMPOSTA,2019,1378.0,16.58
APÓSTOL SANTIAGO,2016,1055.0,0.0
APÓSTOL SANTIAGO,2018,1196.0,13.36
APÓSTOL SANTIAGO,2019,1403.0,17.31
ARAPILES,2016,2488.0,0.0
ARAPILES,2018,2596.0,4.34
ARAPILES,2019,2746.0,5.78
ARAVACA,2016,2366.0,0.0
ARAVACA,2018,2435.0,2.92
ARAVACA,2019,2637.0,8.3
ARCOS,2016,1870.0,0.0
ARCOS,2018,2083.0,11.39
ARCOS,2019,2356.0,13.11
ARGÜELLES,2016,2884.0,0.0
ARGÜELLES,2018,2835.0,-1.7
ARGÜELLES,2019,2993.0,5.57
ATALAYA,2016,163.0,0.0
ATALAYA,2018,159.0,-2.45
ATALAYA,2019,160.0,0.63
ATOCHA,2016,54.0,0.0
