BARRIOS,ANIO,NRO_HOSPEDAJES,PORCENTAJE_EVOLUCION
ABRANTES,2018,2,0.0
ABRANTES,2019,21,950.0
ACACIAS,2016,3,0.0
ACACIAS,2018,17,466.67
ACACIAS,2019,130,664.71
ADELFAS,2016,1,0.0
ADELFAS,2018,5,400.0
ADELFAS,2019,62,1140.0
AEROPUERTO,2019,11,0.0
ALAMEDA DE OSUNA,2018,4,0.0
ALAMEDA DE OSUNA,2019,24,500.0
ALMAGRO,2018,13,0.0
ALMAGRO,2019,129,892.31
ALMENARA,2016,1,0.0
ALMENARA,2018,7,600.0
ALMENARA,2019,51,628.57
ALMENDRALES,2016,1,0.0
ALMENDRALES,2018,4,300.0
ALMENDRALES,2019,48,1100.0
ALUCHE,2016,2,0.0
ALUCHE,2018,13,550.0
ALUCHE,2019,53,307.69
AMPOSTA,2019,5,0.0
APÓSTOL SANTIAGO,2018,1,0.0
APÓSTOL SANTIAGO,2019,8,700.0
ARAPILES,2016,3,0.0
ARAPILES,2018,15,400.0
ARAPILES,2019,114,660.0
ARAVACA,2018,3,0.0
ARAVACA,2019,25,733.33
ARCOS,2016,1,0.0
ARCOS,2018,3,200.0
ARCOS,2019,21,600.0
ARGÜELLES,2016,5,0.0
ARGÜELLES,2018,17,240.0
ARGÜELLES,2019,171,905.88
ATALAYA,2019,1,0.0
ATOCHA,2019,16,0.0
BELLAS VISTAS,2018,14,0.0
BELLAS VISTAS,2019,100,614.29
BERRUGUETE,2016,3,0.0
BERRUGUETE,2018,10,233.33
BERRUGUETE,2019,80,700.0
BUENAVISTA,2018,1,0.0
BUENAVISTA,2019,41,4000.0
BUTARQUE,2018,2,0.0
BUTARQUE,2019,10,400.0
CAMPAMENTO,2018,3,0.0
CAMPAMENTO,2019,18,500.0
CANILLAS,2018,5,0.0
CANILLAS,2019,78,1460.0
CANILLEJAS,2016,1,0.0
CANILLEJAS,2018,1,0.0
CANILLEJAS,2019,30,2900.0
CASA DE CAMPO,2016,1,0.0
CASA DE CAMPO,2018,13,1200.0
CASA DE CAMPO,2019,59,353.85
CASCO HISTÓRICO DE BARAJAS,2016,1,0.0
CASCO HISTÓRICO DE BARAJAS,2019,19,1800.0
CASCO HISTÓRICO DE VALLECAS,2016,2,0.0
CASCO HISTÓRICO DE VALLECAS,2018,5,150.0
CASCO HISTÓRICO DE VALLECAS,2019,52,940.0
CASCO HISTÓRICO DE VICÁLVARO,2016,1,0.0
CASCO HISTÓRICO DE VICÁLVARO,2018,1,0.0
CASCO HISTÓRICO DE VICÁLVARO,2019,18,1700.0
CASTELLANA,2016,9,0.0
CASTELLANA,2018,11,22.22
CASTELLANA,2019,104,845.45
CASTILLA,2018,3,0.0
CASTILLA,2019,54,1700.0
CASTILLEJOS,2016,1,0.0
CASTILLEJOS,2018,8,700.0
CASTILLEJOS,2019,79,887.5
CHOPERA,2016,2,0.0
CHOPERA,2018,10,400.0
CHOPERA,2019,110,1000.0
CIUDAD JARDÍN,2016,3,0.0
CIUDAD JARDÍN,2018,6,100.0
CIUDAD JARDÍN,2019,44,633.33
CIUDAD UNIVERSITARIA,2016,2,0.0
CIUDAD UNIVERSITARIA,2018,10,400.0
CIUDAD UNIVERSITARIA,2019,32,220.0
COLINA,2018,1,0.0
COLINA,2019,12,1100.0
COMILLAS,2016,1,0.0
COMILLAS,2018,10,900.0
COMILLAS,2019,76,660.0
CONCEPCIÓN,2016,1,0.0
CONCEPCIÓN,2018,7,600.0
CONCEPCIÓN,2019,62,785.71
CORRALEJOS,2019,7,0.0
CORTES,2016,9,0.0
CORTES,2018,63,600.0
CORTES,2019,743,1079.37
COSTILLARES,2016,3,0.0
COSTILLARES,2019,16,433.33
CUATRO CAMINOS,2016,8,0.0
CUATRO CAMINOS,2018,14,75.0
CUATRO CAMINOS,2019,119,750.0
CUATRO VIENTOS,2019,6,0.0
DELICIAS,2016,2,0.0
DELICIAS,2018,23,1050.0
DELICIAS,2019,122,430.43
EL GOLOSO,2018,4,0.0
