BARRIOS,ANIO,NRO_MEDIA_PERSONAS,PORCENTAJE_EVOLUCION
ABRANTES,2016,2.7,0.0
ABRANTES,2018,2.73,1.11
ABRANTES,2019,2.79,2.2
ACACIAS,2016,2.4,0.0
ADELFAS,2016,2.44,0.0
ADELFAS,2018,2.42,-0.82
ADELFAS,2019,2.43,0.41
AEROPUERTO,2016,2.6,0.0
AEROPUERTO,2018,2.66,2.31
AEROPUERTO,2019,2.69,1.13
ALAMEDA DE OSUNA,2016,2.73,0.0
ALAMEDA DE OSUNA,2018,2.71,-0.73
ALAMEDA DE OSUNA,2019,2.69,-0.74
ALMAGRO,2016,2.48,0.0
ALMAGRO,2018,2.46,-0.81
ALMAGRO,2019,2.45,-0.41
ALMENARA,2016,2.43,0.0
ALMENARA,2018,2.41,-0.82
ALMENARA,2019,2.43,0.83
ALMENDRALES,2016,2.74,0.0
ALMENDRALES,2018,2.75,0.36
ALMENDRALES,2019,2.8,1.82
ALUCHE,2016,2.5,0.0
ALUCHE,2018,2.49,-0.4
ALUCHE,2019,2.49,0.0
AMPOSTA,2016,2.49,0.0
AMPOSTA,2018,2.5,0.4
AMPOSTA,2019,2.55,2.0
APÓSTOL SANTIAGO,2016,2.66,0.0
APÓSTOL SANTIAGO,2018,2.65,-0.38
APÓSTOL SANTIAGO,2019,2.66,0.38
ARAPILES,2016,2.2,0.0
ARAPILES,2018,2.19,-0.45
ARAPILES,2019,2.18,-0.46
ARAVACA,2016,3.14,0.0
ARAVACA,2018,3.13,-0.32
ARAVACA,2019,3.15,0.64
ARCOS,2016,2.66,0.0
ARCOS,2018,2.67,0.38
ARCOS,2019,2.7,1.12
ARGÜELLES,2016,2.33,0.0
ARGÜELLES,2018,2.31,-0.86
ARGÜELLES,2019,2.32,0.43
ATALAYA,2016,2.73,0.0
ATALAYA,2018,2.81,2.93
ATALAYA,2019,2.78,-1.07
ATOCHA,2016,2.66,0.0
ATOCHA,2018,2.77,4.14
ATOCHA,2019,2.77,0.0
BELLAS VISTAS,2016,2.45,0.0
BELLAS VISTAS,2018,2.44,-0.41
BELLAS VISTAS,2019,2.46,0.82
BERRUGUETE,2016,2.43,0.0
BERRUGUETE,2018,2.43,0.0
BERRUGUETE,2019,2.44,0.41
BUENAVISTA,2016,2.71,0.0
BUENAVISTA,2018,2.73,0.74
BUENAVISTA,2019,2.74,0.37
BUTARQUE,2016,2.83,0.0
BUTARQUE,2018,2.86,1.06
BUTARQUE,2019,2.86,0.0
CAMPAMENTO,2016,2.6,0.0
CAMPAMENTO,2018,2.59,-0.38
CAMPAMENTO,2019,2.61,0.77
CANILLAS,2016,2.56,0.0
CANILLAS,2018,2.55,-0.39
CANILLAS,2019,2.53,-0.78
CANILLEJAS,2016,2.64,0.0
CANILLEJAS,2018,2.61,-1.14
CANILLEJAS,2019,2.61,0.0
CASA DE CAMPO,2016,2.34,0.0
CASA DE CAMPO,2018,2.31,-1.28
CASA DE CAMPO,2019,2.32,0.43
CASCO HISTÓRICO DE BARAJAS,2016,2.41,0.0
