BARRIOS,ANIO,PRECIO(EUROS/M2),PORCENTAJE_EVOLUCION
ABRANTES,2016,1385.35,0.0
ABRANTES,2018,1755.8,26.74
ABRANTES,2019,1895.42,7.95
ACACIAS,2016,2555.01,0.0
ACACIAS,2018,3810.39,49.13
ACACIAS,2019,4498.48,18.06
ADELFAS,2016,2895.68,0.0
ADELFAS,2018,3795.86,31.09
ADELFAS,2019,4729.86,24.61
AEROPUERTO,2016,0.0,0.0
AEROPUERTO,2018,0.0,0.0
AEROPUERTO,2019,0.0,0.0
ALAMEDA DE OSUNA,2016,2283.73,0.0
ALAMEDA DE OSUNA,2018,3295.45,44.3
ALAMEDA DE OSUNA,2019,2821.0,-14.4
ALMAGRO,2016,4695.47,0.0
ALMAGRO,2018,6254.67,33.21
ALMAGRO,2019,6367.31,1.8
ALMENARA,2016,2076.63,0.0
ALMENARA,2018,3016.85,45.28
ALMENARA,2019,3274.9,8.55
ALMENDRALES,2016,1459.82,0.0
ALMENDRALES,2018,2297.5,57.38
ALMENDRALES,2019,2146.67,-6.56
ALUCHE,2016,1574.48,0.0
ALUCHE,2018,2006.86,27.46
ALUCHE,2019,2178.93,8.57
AMPOSTA,2016,1084.97,0.0
AMPOSTA,2018,1443.64,33.06
AMPOSTA,2019,1684.77,16.7
APÓSTOL SANTIAGO,2016,2008.95,0.0
APÓSTOL SANTIAGO,2018,2519.39,25.41
APÓSTOL SANTIAGO,2019,3143.51,24.77
ARAPILES,2016,3529.7,0.0
ARAPILES,2018,5114.62,44.9
ARAPILES,2019,5657.18,10.61
ARAVACA,2016,3057.46,0.0
ARAVACA,2018,3634.45,18.87
ARAVACA,2019,3896.04,7.2
ARCOS,2016,1480.12,0.0
ARCOS,2018,1839.89,24.31
ARCOS,2019,2027.71,10.21
ARGÜELLES,2016,3548.76,0.0
ARGÜELLES,2018,4444.09,25.23
ARGÜELLES,2019,4755.73,7.01
ATALAYA,2016,0.0,0.0
ATALAYA,2018,4566.83,inf
ATALAYA,2019,4735.47,3.69
ATOCHA,2016,0.0,0.0
ATOCHA,2018,0.0,0.0
ATOCHA,2019,0.0,0.0
BELLAS VISTAS,2016,2212.76,0.0
BELLAS VISTAS,2018,3081.7,39.27
BELLAS VISTAS,2019,3427.0,11.2
BERRUGUETE,2016,2088.59,0.0
BERRUGUETE,2018,2819.78,35.01
BERRUGUETE,2019,2944.79,4.43
BUENAVISTA,2016,1637.33,0.0
BUENAVISTA,2018,2078.52,26.95
BUENAVISTA,2019,2353.15,13.21
BUTARQUE,2016,1629.0,0.0
BUTARQUE,2018,1736.17,6.58
BUTARQUE,2019,1960.29,12.91
CAMPAMENTO,2016,1521.75,0.0
CAMPAMENTO,2018,1970.37,29.48
CAMPAMENTO,2019,2035.68,3.31
CANILLAS,2016,2381.41,0.0
CANILLAS,2018,3138.51,31.79
CANILLAS,2019,3280.84,4.53
CANILLEJAS,2016,1573.88,0.0
CANILLEJAS,2018,2027.26,28.81
CANILLEJAS,2019,2349.28,15.88
CASA DE CAMPO,2016,2764.74,0.0
CASA DE CAMPO,2018,3136.31,13.44
CASA DE CAMPO,2019,3419.56,9.03
CASCO HISTÓRICO DE BARAJAS,2016,1973.96,0.0
CASCO HISTÓRICO DE BARAJAS,2018,2745.55,39.09
CASCO HISTÓRICO DE BARAJAS,2019,2954.66,7.62
CASCO HISTÓRICO DE VALLECAS,2016,1756.9,0.0
CASCO HISTÓRICO DE VALLECAS,2018,1749.09,-0.44
CASCO HISTÓRICO DE VALLECAS,2019,2037.94,16.51
