BARRIOS,RENTA_MEDIA,ANIO,PORCENTAJE_EVOLUCION
ABRANTES,27438.81,2016,0.0
ABRANTES,27997.61,2018,2.04
ABRANTES,28513.26,2019,1.84
ACACIAS,42748.8,2016,0.0
ADELFAS,43239.26,2016,0.0
ADELFAS,45842.93,2018,6.02
ADELFAS,46145.0,2019,0.66
AEROPUERTO,22620.31,2016,0.0
AEROPUERTO,24254.31,2018,7.22
AEROPUERTO,41635.74,2019,71.66
ALAMEDA DE OSUNA,52018.8,2016,0.0
ALAMEDA DE OSUNA,52281.19,2018,0.5
ALAMEDA DE OSUNA,25366.0,2019,-51.48
ALMAGRO,65706.48,2016,0.0
ALMAGRO,68786.71,2018,4.69
ALMAGRO,69962.6,2019,1.71
ALMENARA,27278.71,2016,0.0
ALMENARA,28746.7,2018,5.38
ALMENARA,29675.22,2019,3.23
ALMENDRALES,24290.84,2016,0.0
ALMENDRALES,25506.25,2018,5.0
ALMENDRALES,26567.26,2019,4.16
ALUCHE,30431.1,2016,0.0
ALUCHE,31116.51,2018,2.25
ALUCHE,31245.09,2019,0.41
AMPOSTA,21317.23,2016,0.0
AMPOSTA,21841.99,2018,2.46
AMPOSTA,38875.47,2019,77.99
APÓSTOL SANTIAGO,35135.8,2016,0.0
APÓSTOL SANTIAGO,36691.48,2018,4.43
APÓSTOL SANTIAGO,37312.65,2019,1.69
ARAPILES,41590.12,2016,0.0
ARAPILES,42210.15,2018,1.49
ARAPILES,42935.37,2019,1.72
ARAVACA,67162.5,2016,0.0
ARAVACA,77060.76,2018,14.74
ARAVACA,68119.67,2019,-11.6
ARCOS,26632.99,2016,0.0
ARCOS,28111.35,2018,5.55
ARCOS,54991.2,2019,95.62
ARGÜELLES,49355.13,2016,0.0
ARGÜELLES,53460.64,2018,8.32
ARGÜELLES,52002.95,2019,-2.73
ATALAYA,64437.94,2016,0.0
ATALAYA,67826.15,2018,5.26
ATALAYA,71758.0,2019,5.8
ATOCHA,34606.59,2016,0.0
ATOCHA,37939.28,2018,9.63
ATOCHA,38575.0,2019,1.68
BELLAS VISTAS,29258.01,2016,0.0
BELLAS VISTAS,31125.23,2018,6.38
BELLAS VISTAS,28860.62,2019,-7.28
BERRUGUETE,27221.07,2016,0.0
BERRUGUETE,28945.53,2018,6.34
BERRUGUETE,29320.76,2019,1.3
BUENAVISTA,29610.67,2016,0.0
BUENAVISTA,31280.56,2018,5.64
BUENAVISTA,31740.54,2019,1.47
BUTARQUE,27423.2,2016,0.0
BUTARQUE,30153.3,2018,9.96
BUTARQUE,30468.9,2019,1.05
CAMPAMENTO,30794.58,2016,0.0
CAMPAMENTO,31913.21,2018,3.63
CAMPAMENTO,31966.93,2019,0.17
CANILLAS,38763.18,2016,0.0
CANILLAS,39790.24,2018,2.65
CANILLAS,37404.47,2019,-6.0
CANILLEJAS,30527.12,2016,0.0
CANILLEJAS,31306.01,2018,2.55
CANILLEJAS,31306.01,2019,0.0
CASA DE CAMPO,39510.59,2016,0.0
CASA DE CAMPO,41436.08,2018,4.87
CASA DE CAMPO,55237.79,2019,33.31
CASCO HISTÓRICO DE BARAJAS,33312.14,2016,0.0
CASCO HISTÓRICO DE BARAJAS,29450.04,2018,-11.59
CASCO HISTÓRICO DE BARAJAS,37427.0,2019,27.09
CASCO HISTÓRICO DE VALLECAS,26874.23,2016,0.0
CASCO HISTÓRICO DE VALLECAS,28357.2,2018,5.52
CASCO HISTÓRICO DE VALLECAS,24526.33,2019,-13.51
